Measure,Time,Time_type,Ethnicity,Ethnicity_type,Gender,Gender_type,Age Bracket,Age Bracket Type,Value,Denominator,Numerator,Upper bound,Lower bound,Note
Unemployment in the labour force,1996,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1996,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1996,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1996,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1996,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1996,Year,Ethnic Minority,White and other,Female,Male/Female,50-64,Labour force age brackets,0.076,62,,,,
Unemployment in the labour force,1996,Year,All,All,Female,Male/Female,50-64,Labour force age brackets,0.042,2361,,,,
Unemployment in the labour force,1996,Year,White,White and other,,All,16+,Labour force age brackets,0.075,26256,,,,
Unemployment in the labour force,1996,Year,White,White and other,Male,Male/Female,16+,Labour force age brackets,0.088,14466,,,,
Unemployment in the labour force,1996,Year,White,White and other,Female,Male/Female,16+,Labour force age brackets,0.06,11790,,,,
Unemployment in the labour force,1996,Year,White,White and other,,All,16-24,Labour force age brackets,0.145,4221,,,,
Unemployment in the labour force,1996,Year,White,White and other,Male,Male/Female,16-24,Labour force age brackets,0.172,2244,,,,
Unemployment in the labour force,1996,Year,White,White and other,Female,Male/Female,16-24,Labour force age brackets,0.113,1977,,,,
Unemployment in the labour force,1996,Year,White,White and other,,All,25-49,Labour force age brackets,0.063,16235,,,,
Unemployment in the labour force,1996,Year,White,White and other,Male,Male/Female,25-49,Labour force age brackets,0.073,8872,,,,
Unemployment in the labour force,1996,Year,White,White and other,Female,Male/Female,25-49,Labour force age brackets,0.052,7363,,,,
Unemployment in the labour force,1996,Year,White,White and other,,All,50-64,Labour force age brackets,0.061,5387,,,,
Unemployment in the labour force,1996,Year,White,White and other,Male,Male/Female,50-64,Labour force age brackets,0.076,3088,,,,
Unemployment in the labour force,1996,Year,White,White and other,Female,Male/Female,50-64,Labour force age brackets,0.041,2299,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.065,26295,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.198,477,,,,
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.153,113,,,,
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.088,430,,,,
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.218,231,,,,
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.081,76,,,,
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.112,88,,,,
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.185,50,,,,
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,,All,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,,All,16+,Labour force age brackets,0.154,1465,,,,
Unemployment in the labour force,1997,Year,All,All,,All,16+,Labour force age brackets,0.069,27767,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.073,14420,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.219,248,,,,
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.177,60,,,,
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.081,251,,,,
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.216,167,,,,
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.091,43,,,,Small sample size
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.139,47,,,,
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.203,30,,,,
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,Male,Male/Female,16+,Labour force age brackets,0.163,845,,,,
Unemployment in the labour force,1997,Year,All,All,Male,Male/Female,16+,Labour force age brackets,0.078,15267,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.055,11875,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.174,229,,,,
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.127,54,,,,
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.099,179,,,,
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.223,64,,,,
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.067,33,,,,Small sample size
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.081,40,,,,Small sample size
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.159,21,,,,Small sample size
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,Female,Male/Female,16+,Labour force age brackets,0.141,621,,,,
Unemployment in the labour force,1997,Year,All,All,Female,Male/Female,16+,Labour force age brackets,0.059,12499,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.132,4143,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.382,81,,,,
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.205,38,,,,
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.19,63,,,,
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.281,75,,,,
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.311,11,,,,Small sample size
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,,All,16-24,Labour force age brackets,0.272,287,,,,
Unemployment in the labour force,1997,Year,All,All,,All,16-24,Labour force age brackets,0.141,4431,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.15,2186,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.392,46,,,,
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.256,19,,,,
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.17,31,,,,
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.303,44,,,,
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.46,* *,,,,Small sample size
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,Male,Male/Female,16-24,Labour force age brackets,0.295,156,,,,
Unemployment in the labour force,1997,Year,All,All,Male,Male/Female,16-24,Labour force age brackets,0.16,2343,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.108,1957,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.382,35,,,,
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.168,19,,,,Small sample size
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.227,32,,,,Small sample size
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.258,31,,,,
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,Female,Male/Female,16-24,Labour force age brackets,0.249,131,,,,
Unemployment in the labour force,1997,Year,All,All,Female,Male/Female,16-24,Labour force age brackets,0.115,2089,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.053,16131,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.162,330,,,,
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.131,68,,,,
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.065,309,,,,
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.175,134,,,,
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.081,53,,,,
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.079,62,,,,
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.186,39,,,,
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,,All,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,,All,25-49,Labour force age brackets,0.123,995,,,,
Unemployment in the labour force,1997,Year,All,All,,All,25-49,Labour force age brackets,0.057,17130,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.059,8773,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.179,166,,,,
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.154,37,,,,
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.058,181,,,,
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.167,104,,,,
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.097,30,,,,Small sample size
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.083,32,,,,Small sample size
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,0.181,24,,,,Small sample size
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,Male,Male/Female,25-49,Labour force age brackets,0.128,573,,,,
Unemployment in the labour force,1997,Year,All,All,Male,Male/Female,25-49,Labour force age brackets,0.063,9346,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.047,7360,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.144,165,,,,
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.105,32,,,,Small sample size
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.074,129,,,,
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.204,30,,,,
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.074,30,,,,Small sample size
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,0.194,15,,,,Small sample size
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,Female,Male/Female,25-49,Labour force age brackets,0.116,423,,,,
Unemployment in the labour force,1997,Year,All,All,Female,Male/Female,25-49,Labour force age brackets,0.051,7784,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.05,5590,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.146,62,,,,
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.102,55,,,,
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,50-64,Labour force age brackets,0.27,22,,,,
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,,All,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,,All,50-64,Labour force age brackets,0.135,174,,,,
Unemployment in the labour force,1997,Year,All,All,,All,50-64,Labour force age brackets,0.053,5766,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.061,3193,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.177,33,,,,
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.111,36,,,,Small sample size
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,0.297,18,,,,
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,Male,Male/Female,50-64,Labour force age brackets,0.161,110,,,,
Unemployment in the labour force,1997,Year,All,All,Male,Male/Female,50-64,Labour force age brackets,0.065,3303,,,,
Unemployment in the labour force,1997,Year,White,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,0.035,2397,,,,
Unemployment in the labour force,1997,Year,Black,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,0.109,29,,,,Small sample size
Unemployment in the labour force,1997,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Indian,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,50-64,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1997,Year,Ethnic Minority,White and other,Female,Male/Female,50-64,Labour force age brackets,0.092,65,,,,
Unemployment in the labour force,1997,Year,All,All,Female,Male/Female,50-64,Labour force age brackets,0.036,2463,,,,
Unemployment in the labour force,1997,Year,White,White and other,,All,16+,Labour force age brackets,0.065,26295,,,,
Unemployment in the labour force,1997,Year,White,White and other,Male,Male/Female,16+,Labour force age brackets,0.073,14420,,,,
Unemployment in the labour force,1997,Year,White,White and other,Female,Male/Female,16+,Labour force age brackets,0.055,11875,,,,
Unemployment in the labour force,1997,Year,White,White and other,,All,16-24,Labour force age brackets,0.132,4143,,,,
Unemployment in the labour force,1997,Year,White,White and other,Male,Male/Female,16-24,Labour force age brackets,0.15,2186,,,,
Unemployment in the labour force,1997,Year,White,White and other,Female,Male/Female,16-24,Labour force age brackets,0.108,1957,,,,
Unemployment in the labour force,1997,Year,White,White and other,,All,25-49,Labour force age brackets,0.053,16131,,,,
Unemployment in the labour force,1997,Year,White,White and other,Male,Male/Female,25-49,Labour force age brackets,0.059,8773,,,,
Unemployment in the labour force,1997,Year,White,White and other,Female,Male/Female,25-49,Labour force age brackets,0.047,7360,,,,
Unemployment in the labour force,1997,Year,White,White and other,,All,50-64,Labour force age brackets,0.05,5590,,,,
Unemployment in the labour force,1997,Year,White,White and other,Male,Male/Female,50-64,Labour force age brackets,0.061,3193,,,,
Unemployment in the labour force,1997,Year,White,White and other,Female,Male/Female,50-64,Labour force age brackets,0.035,2397,,,,
Unemployment in the labour force,1998,Year,White,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.058,26328,,,,
Unemployment in the labour force,1998,Year,Black,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.153,463,,,,
Unemployment in the labour force,1998,Year,Mixed or multiple,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.152,124,,,,
Unemployment in the labour force,1998,Year,Indian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.086,455,,,,
Unemployment in the labour force,1998,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.205,228,,,,
Unemployment in the labour force,1998,Year,Chinese,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.089,80,,,,
Unemployment in the labour force,1998,Year,Other Asian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.1,96,,,,
Unemployment in the labour force,1998,Year,Other  ,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.159,64,,,,
Unemployment in the labour force,1998,Year,Unknown,ONS labour expanded Asian,,All,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1998,Year,Ethnic Minority,White and other,,All,16+,Labour force age brackets,0.134,1509,,,,
Unemployment in the labour force,1998,Year,All,All,,All,16+,Labour force age brackets,0.062,27843,,,,
Unemployment in the labour force,1998,Year,White,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.065,14404,,,,
Unemployment in the labour force,1998,Year,Black,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.169,242,,,,
Unemployment in the labour force,1998,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.139,59,,,,
Unemployment in the labour force,1998,Year,Indian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.086,267,,,,
Unemployment in the labour force,1998,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.199,164,,,,
Unemployment in the labour force,1998,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.097,39,,,,Small sample size
Unemployment in the labour force,1998,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.101,56,,,,
Unemployment in the labour force,1998,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.191,35,,,,
Unemployment in the labour force,1998,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1998,Year,Ethnic Minority,White and other,Male,Male/Female,16+,Labour force age brackets,0.14,861,,,,
Unemployment in the labour force,1998,Year,All,All,Male,Male/Female,16+,Labour force age brackets,0.069,15266,,,,
Unemployment in the labour force,1998,Year,White,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.05,11925,,,,
Unemployment in the labour force,1998,Year,Black,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.136,222,,,,
Unemployment in the labour force,1998,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.163,64,,,,
Unemployment in the labour force,1998,Year,Indian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.085,188,,,,
Unemployment in the labour force,1998,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.219,64,,,,
Unemployment in the labour force,1998,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.082,41,,,,Small sample size
Unemployment in the labour force,1998,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.099,40,,,,Small sample size
Unemployment in the labour force,1998,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.122,30,,,,Small sample size
Unemployment in the labour force,1998,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1998,Year,Ethnic Minority,White and other,Female,Male/Female,16+,Labour force age brackets,0.126,650,,,,
Unemployment in the labour force,1998,Year,All,All,Female,Male/Female,16+,Labour force age brackets,0.054,12578,,,,
Unemployment in the labour force,1998,Year,White,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.127,4085,,,,
Unemployment in the labour force,1998,Year,Black,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.335,72,,,,
Unemployment in the labour force,1998,Year,Mixed or multiple,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.284,42,,,,
Unemployment in the labour force,1998,Year,Indian,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.164,75,,,,
Unemployment in the labour force,1998,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.312,67,,,,
Unemployment in the labour force,1998,Year,Chinese,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1998,Year,Other Asian,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.249,11,,,,Small sample size
Unemployment in the labour force,1998,Year,Other  ,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1998,Year,Unknown,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1998,Year,Ethnic Minority,White and other,,All,16-24,Labour force age brackets,0.263,289,,,,
Unemployment in the labour force,1998,Year,All,All,,All,16-24,Labour force age brackets,0.136,4375,,,,
Unemployment in the labour force,1998,Year,White,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.144,2148,,,,
Unemployment in the labour force,1998,Year,Black,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.343,43,,,,
Unemployment in the labour force,1998,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.253,19,,,,
Unemployment in the labour force,1998,Year,Indian,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.17,42,,,,
Unemployment in the labour force,1998,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.328,39,,,,
Unemployment in the labour force,1998,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1998,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1998,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1998,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1998,Year,Ethnic Minority,White and other,Male,Male/Female,16-24,Labour force age brackets,0.274,158,,,,
Unemployment in the labour force,1998,Year,All,All,Male,Male/Female,16-24,Labour force age brackets,0.153,2306,,,,
